benchmark,methods,run-,time_for_init_pop,time_for_ga_process,time_for_all_process,
X-n106-k14,MKNN,1,2.00,103.00,105.00,1.00
X-n106-k14,MKNN,2,2.00,105.00,107.00,2.00
X-n106-k14,MKNN,3,2.00,102.00,104.00,
X-n106-k14,MKNN,4,1.00,93.00,94.00,
X-n106-k14,MKNN,5,1.00,93.00,94.00,
X-n106-k14,MKNN,6,1.00,90.00,91.00,
X-n106-k14,MKNN,7,2.00,87.00,89.00,
X-n106-k14,MKNN,8,1.00,86.00,87.00,
X-n106-k14,MKNN,9,1.00,89.00,90.00,
X-n106-k14,MKNN,10,1.00,87.00,88.00,
X-n106-k14,MKNN,11,2.00,86.00,88.00,
X-n106-k14,MKNN,12,1.00,87.00,88.00,
X-n106-k14,MKNN,13,2.00,85.00,87.00,
X-n106-k14,MKNN,14,1.00,84.00,85.00,
X-n106-k14,MKNN,15,1.00,84.00,85.00,
X-n106-k14,MKNN,16,1.00,86.00,87.00,
X-n106-k14,MKNN,17,2.00,88.00,90.00,
X-n106-k14,MKNN,18,1.00,87.00,88.00,
X-n106-k14,MKNN,19,1.00,88.00,89.00,
X-n106-k14,MKNN,20,1.00,87.00,88.00,
X-n204-k19,MKNN,1,5.00,182.00,187.00,
X-n204-k19,MKNN,2,4.00,179.00,183.00,
X-n204-k19,MKNN,3,4.00,194.00,198.00,
X-n204-k19,MKNN,4,4.00,178.00,182.00,
X-n204-k19,MKNN,5,4.00,180.00,184.00,
X-n204-k19,MKNN,6,3.00,180.00,183.00,
X-n204-k19,MKNN,7,5.00,187.00,192.00,
X-n204-k19,MKNN,8,4.00,185.00,189.00,
X-n204-k19,MKNN,9,5.00,191.00,196.00,
X-n204-k19,MKNN,10,4.00,189.00,193.00,
X-n204-k19,MKNN,11,4.00,179.00,183.00,
X-n204-k19,MKNN,12,4.00,190.00,194.00,
X-n204-k19,MKNN,13,4.00,188.00,192.00,
X-n204-k19,MKNN,14,4.00,182.00,186.00,
X-n204-k19,MKNN,15,4.00,179.00,183.00,
X-n204-k19,MKNN,16,4.00,184.00,188.00,
X-n204-k19,MKNN,17,4.00,163.00,167.00,
X-n204-k19,MKNN,18,4.00,160.00,164.00,
X-n204-k19,MKNN,19,3.00,153.00,156.00,
X-n204-k19,MKNN,20,4.00,155.00,159.00,
X-n308-k13,MKNN,1,9.00,258.00,267.00,
X-n308-k13,MKNN,2,8.00,272.00,280.00,
X-n308-k13,MKNN,3,8.00,258.00,266.00,
X-n308-k13,MKNN,4,8.00,256.00,264.00,
X-n308-k13,MKNN,5,8.00,266.00,274.00,
X-n308-k13,MKNN,6,8.00,266.00,274.00,
X-n308-k13,MKNN,7,8.00,273.00,281.00,
X-n308-k13,MKNN,8,8.00,259.00,267.00,
X-n308-k13,MKNN,9,9.00,269.00,278.00,
X-n308-k13,MKNN,10,9.00,257.00,266.00,
X-n308-k13,MKNN,11,8.00,262.00,270.00,
X-n308-k13,MKNN,12,8.00,238.00,246.00,
X-n308-k13,MKNN,13,8.00,222.00,230.00,
X-n308-k13,MKNN,14,7.00,220.00,227.00,
X-n308-k13,MKNN,15,7.00,221.00,228.00,
X-n308-k13,MKNN,16,6.00,213.00,219.00,
X-n308-k13,MKNN,17,7.00,220.00,227.00,
X-n308-k13,MKNN,18,7.00,219.00,226.00,
X-n308-k13,MKNN,19,8.00,217.00,225.00,
X-n308-k13,MKNN,20,6.00,212.00,218.00,
X-n376-k94,MKNN,1,11.00,490.00,501.00,
X-n376-k94,MKNN,2,15.00,474.00,489.00,
X-n376-k94,MKNN,3,11.00,480.00,491.00,
X-n376-k94,MKNN,4,12.00,506.00,518.00,
X-n376-k94,MKNN,5,12.00,514.00,526.00,
X-n376-k94,MKNN,6,12.00,462.00,474.00,
X-n376-k94,MKNN,7,13.00,440.00,453.00,
X-n376-k94,MKNN,8,10.00,415.00,425.00,
X-n376-k94,MKNN,9,10.00,410.00,420.00,
X-n376-k94,MKNN,10,10.00,400.00,410.00,
X-n376-k94,MKNN,11,10.00,400.00,410.00,
X-n376-k94,MKNN,12,10.00,401.00,411.00,
X-n376-k94,MKNN,13,9.00,375.00,384.00,
X-n376-k94,MKNN,14,10.00,375.00,385.00,
X-n376-k94,MKNN,15,9.00,461.00,470.00,
X-n376-k94,MKNN,16,13.00,500.00,513.00,
X-n376-k94,MKNN,17,13.00,500.00,513.00,
X-n376-k94,MKNN,18,12.00,497.00,509.00,
X-n376-k94,MKNN,19,13.00,482.00,495.00,
X-n376-k94,MKNN,20,12.00,493.00,505.00,
X-n502-k39,MKNN,1,22.00,439.00,461.00,
X-n502-k39,MKNN,2,20.00,446.00,466.00,
X-n502-k39,MKNN,3,21.00,440.00,461.00,
X-n502-k39,MKNN,4,20.00,437.00,457.00,
X-n502-k39,MKNN,5,21.00,443.00,464.00,
X-n502-k39,MKNN,6,19.00,435.00,454.00,
X-n502-k39,MKNN,7,19.00,425.00,444.00,
X-n502-k39,MKNN,8,19.00,418.00,437.00,
X-n502-k39,MKNN,9,18.00,415.00,433.00,
X-n502-k39,MKNN,10,19.00,429.00,448.00,
X-n502-k39,MKNN,11,20.00,422.00,442.00,
X-n502-k39,MKNN,12,19.00,419.00,438.00,
X-n502-k39,MKNN,13,19.00,418.00,437.00,
X-n502-k39,MKNN,14,19.00,420.00,439.00,
X-n502-k39,MKNN,15,19.00,419.00,438.00,
X-n502-k39,MKNN,16,19.00,415.00,434.00,
X-n502-k39,MKNN,17,19.00,420.00,439.00,
X-n502-k39,MKNN,18,18.00,421.00,439.00,
X-n502-k39,MKNN,19,19.00,420.00,439.00,
X-n502-k39,MKNN,20,19.00,423.00,442.00,
X-n655-k131,MKNN,1,35.00,878.00,913.00,
X-n655-k131,MKNN,2,33.00,865.00,898.00,
X-n655-k131,MKNN,3,36.00,880.00,916.00,
X-n655-k131,MKNN,4,31.00,827.00,858.00,
X-n655-k131,MKNN,5,32.00,846.00,878.00,
X-n655-k131,MKNN,6,34.00,842.00,876.00,
X-n655-k131,MKNN,7,32.00,896.00,928.00,
X-n655-k131,MKNN,8,31.00,827.00,858.00,
X-n655-k131,MKNN,9,33.00,835.00,868.00,
X-n655-k131,MKNN,10,33.00,816.00,849.00,
X-n655-k131,MKNN,11,31.00,893.00,924.00,
X-n655-k131,MKNN,12,30.00,785.00,815.00,
X-n655-k131,MKNN,13,30.00,815.00,845.00,
X-n655-k131,MKNN,14,30.00,743.00,773.00,
X-n655-k131,MKNN,15,31.00,777.00,808.00,
X-n655-k131,MKNN,16,29.00,765.00,794.00,
X-n655-k131,MKNN,17,30.00,765.00,795.00,
X-n655-k131,MKNN,18,29.00,742.00,771.00,
X-n655-k131,MKNN,19,30.00,802.00,832.00,
X-n655-k131,MKNN,20,39.00,929.00,968.00,
X-n801-k40,MKNN,1,50.00,724.00,774.00,
X-n801-k40,MKNN,2,49.00,733.00,782.00,
X-n801-k40,MKNN,3,48.00,736.00,784.00,
X-n801-k40,MKNN,4,48.00,712.00,760.00,
X-n801-k40,MKNN,5,46.00,690.00,736.00,
X-n801-k40,MKNN,6,46.00,701.00,747.00,
X-n801-k40,MKNN,7,48.00,695.00,743.00,
X-n801-k40,MKNN,8,46.00,690.00,736.00,
X-n801-k40,MKNN,9,46.00,688.00,734.00,
X-n801-k40,MKNN,10,46.00,694.00,740.00,
X-n801-k40,MKNN,11,45.00,688.00,733.00,
X-n801-k40,MKNN,12,46.00,685.00,731.00,
X-n801-k40,MKNN,13,47.00,679.00,726.00,
X-n801-k40,MKNN,14,43.00,641.00,684.00,
X-n801-k40,MKNN,15,44.00,637.00,681.00,
X-n801-k40,MKNN,16,42.00,644.00,686.00,
X-n801-k40,MKNN,17,42.00,643.00,685.00,
X-n801-k40,MKNN,18,43.00,643.00,686.00,
X-n801-k40,MKNN,19,43.00,639.00,682.00,
X-n801-k40,MKNN,20,43.00,637.00,680.00,
X-n876-k59,MKNN,1,51.00,740.00,791.00,
X-n876-k59,MKNN,2,51.00,744.00,795.00,
X-n876-k59,MKNN,3,50.00,747.00,797.00,
X-n876-k59,MKNN,4,51.00,718.00,769.00,
X-n876-k59,MKNN,5,48.00,696.00,744.00,
X-n876-k59,MKNN,6,49.00,710.00,759.00,
X-n876-k59,MKNN,7,48.00,701.00,749.00,
X-n876-k59,MKNN,8,48.00,693.00,741.00,
X-n876-k59,MKNN,9,49.00,693.00,742.00,
X-n876-k59,MKNN,10,48.00,697.00,745.00,
X-n876-k59,MKNN,11,47.00,698.00,745.00,
X-n876-k59,MKNN,12,47.00,694.00,741.00,
X-n876-k59,MKNN,13,49.00,685.00,734.00,
X-n876-k59,MKNN,14,45.00,653.00,698.00,
X-n876-k59,MKNN,15,44.00,651.00,695.00,
X-n876-k59,MKNN,16,45.00,650.00,695.00,
X-n876-k59,MKNN,17,45.00,656.00,701.00,
X-n876-k59,MKNN,18,44.00,652.00,696.00,
X-n876-k59,MKNN,19,45.00,651.00,696.00,
X-n876-k59,MKNN,20,44.00,648.00,692.00,
